"text","label"
"Cette semaine de travail en équipe a été incroyablement productive et joyeuse.","joie"
"Tu devrais sauvegarder tes fichiers avant la mise à jour.","neutre"
"Mon reflet dans la vitre ne bouge plus.","peur"
"Leur immobilisme est un sable mouvant qui nous engloutit.","colere"
"Je suis un instrument désaccordé qui ne joue plus que des notes fausses.","tristesse"
"La pièce était un huis clos de tensions exacerbées, un enfer intime.","colere"
"Je suis frustré au point d'en avoir des hallucinations de violence.","colere"
"La texture de la cervelle d'agneau est une éponge molle et tiède.","degout"
"Le restaurant universitaire propose un menu à 3,30 euros.","neutre"
"Leur double discours est à gerber sur leurs chaussures de luxe.","colere"
"Sa personnalité est une coquille vide, meublée avec les opinions des autres.","degout"
"Cette sauce a un goût rance, elle a dû tourner.","degout"
"Cette conversation est un ticket gagnant du loto de la bonne humeur.","joie"
"Cette dispute dans les commentaires m'a laissé un goût amer.","tristesse"
"La bibliothèque a une collection de DVD.","neutre"
"Cet appareil électroménager est classé A++ en efficacité énergétique.","neutre"
"L'ordure, il a été acquitté faute de preuves.","colere"
"Une onde de félicité s'est propagée en moi, apaisant tout sur son passage.","joie"
"La falaise de glace se fissure sous mon piolet.","peur"
"La lueur d'une bougie vacillait, dessinant des formes dansantes et tristes sur les murs.","tristesse"
"Ce contretemps est la pire merde qui pouvait arriver aujourd'hui.","colere"
"J'ai une peur irrationnelle d'être coincé dans un embouteillage.","peur"
"Le fait que la photosynthèse existe est une merveille qui devrait nous remplir de joie chaque jour.","joie"
"Nous avons vu la voiture flotter pendant l'inondation.","surprise"
"Mon dieu, mais le fleuve est devenu rouge sang !","surprise"
"Je suis à saturation, la prochaine personne qui me parle mal, je l'explose.","colere"
"Ce puzzle en bois aux formes inhabituelles a été un défi délicieux à assembler.","joie"
"J'ai une peur bleue de me retrouver enfermé dehors en pleine nuit.","peur"
"L'obscurité quasi totale de la cave était peuplée de bruits inquiétants.","peur"
"C'est juste une pute à buzz.","colere"
"Le vainqueur du tournoi de tennis est maintenant connu.","neutre"
"Tu as vraiment passé la nuit dans une maison hantée ?","surprise"
